,Make,baseModel
778,Jaguar,XJR
779,Jaguar,XJRS
780,Jaguar,XJS
781,Jaguar,XK
782,Jaguar,XK8
783,Jaguar,XKR
784,Jeep,CJ
785,Jeep,Cherokee
786,Jeep,Cherokee/Wagoneer
787,Jeep,Comanche
788,Jeep,Comanche Pickup
789,Jeep,Commander
790,Jeep,Compass
791,Jeep,Gladiator
792,Jeep,Gladiator Pickup
793,Jeep,Grand Cherokee
794,Jeep,Grand Wagoneer
795,Jeep,J-10 Pickup
796,Jeep,J-20 Pickup
797,Jeep,Liberty
798,Jeep,Liberty/Cherokee
799,Jeep,Patriot
800,Jeep,Renegade
801,Jeep,Scrambler
802,Jeep,Scrambler Pickup
803,Jeep,Wagoneer
804,Jeep,Wrangler
805,Jeep,Wrangler/TJ
806,Kandi,K27
807,Karma,GS-6
808,Karma,Revero
809,Kenyon Corporation Of America,Kenyon 5.0 Cabrio
810,Kenyon Corporation Of America,Kenyon 5.0 Coupe
811,Kenyon Corporation Of America,Kenyon 5.0 Sedan
812,Kenyon Corporation Of America,Kenyon 5.0 Sp Sedan
813,Kia,Amanti
814,Kia,Borrego
815,Kia,Cadenza
816,Kia,Carnival
817,Kia,EV6
818,Kia,EV9
819,Kia,Forte
820,Kia,K5
821,Kia,K900
822,Kia,Niro
823,Kia,Optima
824,Kia,Rio
825,Kia,Rondo
826,Kia,Sedona
827,Kia,Seltos
828,Kia,Sephia
829,Kia,Sephia/Spectra
830,Kia,Sorento
831,Kia,Soul
832,Kia,Spectra
833,Kia,Sportage
834,Kia,Stinger
835,Kia,Telluride
836,Koenigsegg,Agera RS
837,Koenigsegg,Regera
838,Laforza Automobile Inc,Laforza
839,Lambda Control Systems,300E
840,Lamborghini,Aventador
841,Lamborghini,Countach
842,Lamborghini,Diablo
843,Lamborghini,Gallardo
844,Lamborghini,Huracan
845,Lamborghini,Murcielago
846,Lamborghini,Urus
847,Lamborghini,Veneno
848,Land Rover,Defender
849,Land Rover,Discovery
850,Land Rover,Discovery Sport
851,Land Rover,Evoque
852,Land Rover,Freelander
853,Land Rover,LR2
854,Land Rover,LR3
855,Land Rover,LR4
856,Land Rover,Range Rover
857,Lexus,CT
858,Lexus,ES
859,Lexus,GS
860,Lexus,GX
861,Lexus,HS
862,Lexus,IS
863,Lexus,IS F
864,Lexus,LC
865,Lexus,LFA
866,Lexus,LS
867,Lexus,LX
868,Lexus,NX
869,Lexus,RC
870,Lexus,RC F
871,Lexus,RX
872,Lexus,RZ
873,Lexus,SC
874,Lexus,TX
875,Lexus,UX
876,Lincoln,Aviator
877,Lincoln,Blackwood
878,Lincoln,Continental
879,Lincoln,Corsair
880,Lincoln,LS
881,Lincoln,MKC
882,Lincoln,MKS
883,Lincoln,MKT
884,Lincoln,MKX
885,Lincoln,MKZ
886,Lincoln,Mark LT
887,Lincoln,Mark VII
888,Lincoln,Mark VIII
889,Lincoln,Nautilus
890,Lincoln,Navigator
891,Lincoln,Town Car
892,Lincoln,Zephyr
893,London Coach Co Inc,London Taxi
894,London Taxi,London Taxi
895,Lordstown,Endurance
896,Lotus,Elan
897,Lotus,Elise/Exige
898,Lotus,Elise/exige
899,Lotus,Emira
900,Lotus,Esprit
901,Lotus,Evora
902,Lucid,Air
903,MINI,Clubman
904,MINI,Cooper
905,MINI,Countryman
906,MINI,John Cooper Works
907,MINI,MiniE
908,MINI,Paceman
909,MINI,Roadster
910,Mahindra,TR40
911,Maserati,222E
912,Maserati,225
913,Maserati,228
914,Maserati,430
915,Maserati,Biturbo
916,Maserati,Biturbo Spyder
917,Maserati,Coupe Cambiocorsa/Coupe GT
918,Maserati,Coupe Cambiocorsa/GT/G-Sport
919,Maserati,Coupe Cambiocorsa/coupe GT
920,Maserati,Coupe and Gransport
921,Maserati,Ghibli
922,Maserati,GranTurismo
923,Maserati,Grancabrio
924,Maserati,Granturismo
925,Maserati,Grecale
926,Maserati,Karif
927,Maserati,Levante
928,Maserati,MC20
929,Maserati,Q
930,Maserati,Quattroporte
931,Maserati,Spyder
932,Maybach,57
933,Maybach,62
934,Maybach,Landaulet
935,Mazda,2
936,Mazda,3
937,Mazda,323
938,Mazda,323 Protege
939,Mazda,5
940,Mazda,6
941,Mazda,626
942,Mazda,626/MX-6
943,Mazda,929
944,Mazda,B Pickup
945,Mazda,CX-3
946,Mazda,CX-30
947,Mazda,CX-5
948,Mazda,CX-50
949,Mazda,CX-7
950,Mazda,CX-9
951,Mazda,CX-90
952,Mazda,GLC
953,Mazda,MPV
954,Mazda,MX-3
955,Mazda,MX-30
956,Mazda,MX-5
957,Mazda,MX-5 Miata
958,Mazda,MX-6
959,Mazda,Millenia
960,Mazda,Navajo
961,Mazda,Protege
962,Mazda,Protege/Protege 5
963,Mazda,Protege/Protege MPS
964,Mazda,RX-7
965,Mazda,RX-8
966,Mazda,Speed 3
967,Mazda,Tribute
968,McLaren Automotive,540C Coupe
969,McLaren Automotive,570GT
970,McLaren Automotive,570S Coupe
971,McLaren Automotive,570S Spider
972,McLaren Automotive,600LT Coupe
973,McLaren Automotive,600LT Spider
974,McLaren Automotive,620R Coupe
975,McLaren Automotive,650S Can-Am
976,McLaren Automotive,650S Coupe
977,McLaren Automotive,650S Spider
978,McLaren Automotive,675LT Coupe
979,McLaren Automotive,675LT Spider
980,McLaren Automotive,720S Coupe
981,McLaren Automotive,720S Spider
982,McLaren Automotive,765LT Coupe
983,McLaren Automotive,765LT Spider
984,McLaren Automotive,Artura
985,McLaren Automotive,Elva
986,McLaren Automotive,GT
987,McLaren Automotive,MP4-12C Coupe
988,McLaren Automotive,MP4-12C Spider
989,McLaren Automotive,MSO HS
990,McLaren Automotive,P1
991,McLaren Automotive,Sabre
992,McLaren Automotive,Senna
993,McLaren Automotive,Speedtail
994,Mcevoy Motors,240 DL/240 GL Sedan
995,Mcevoy Motors,240 DL/240 GL Wagon
996,Mcevoy Motors,740 GLE Sedan
997,Mcevoy Motors,740 GLE Wagon
998,Mercedes-Benz,190
999,Mercedes-Benz,200
1000,Mercedes-Benz,230
1001,Mercedes-Benz,260
1002,Mercedes-Benz,300
1003,Mercedes-Benz,350
1004,Mercedes-Benz,380
1005,Mercedes-Benz,400
1006,Mercedes-Benz,420
1007,Mercedes-Benz,500
1008,Mercedes-Benz,560
1009,Mercedes-Benz,600
1010,Mercedes-Benz,A-Class
1011,Mercedes-Benz,AMG GT
1012,Mercedes-Benz,B-Class Electric Drive
1013,Mercedes-Benz,C-Class
1014,Mercedes-Benz,CL-Class
1015,Mercedes-Benz,CLA-Class
1016,Mercedes-Benz,CLE-Class
1017,Mercedes-Benz,CLK-Class
1018,Mercedes-Benz,CLS-Class
1019,Mercedes-Benz,E-Class
1020,Mercedes-Benz,EQB
1021,Mercedes-Benz,EQE
1022,Mercedes-Benz,EQS
1023,Mercedes-Benz,G-Class
1024,Mercedes-Benz,GL-Class
1025,Mercedes-Benz,GLA-Class
1026,Mercedes-Benz,GLB-Class
1027,Mercedes-Benz,GLC-Class
1028,Mercedes-Benz,GLE-Class
1029,Mercedes-Benz,GLK-Class
1030,Mercedes-Benz,GLS-Class
1031,Mercedes-Benz,ML-Class
1032,Mercedes-Benz,Maybach
1033,Mercedes-Benz,Metris Cargo
1034,Mercedes-Benz,Metris Passenger
1035,Mercedes-Benz,R-Class
1036,Mercedes-Benz,S-Class
1037,Mercedes-Benz,SL-Class
1038,Mercedes-Benz,SLC-Class
1039,Mercedes-Benz,SLK-Class
1040,Mercedes-Benz,SLR
1041,Mercedes-Benz,SLS AMG
1042,Mercury,Capri
1043,Mercury,Cougar
1044,Mercury,Grand Marquis
1045,Mercury,Lynx
1046,Mercury,Marauder
1047,Mercury,Mariner
1048,Mercury,Marquis
1049,Mercury,Milan
1050,Mercury,Montego
1051,Mercury,Monterey
1052,Mercury,Mountaineer
1053,Mercury,Mystique
1054,Mercury,Sable
1055,Mercury,Topaz
1056,Mercury,Tracer
1057,Mercury,Villager
1058,Merkur,Scorpio
1059,Merkur,XR4Ti
1060,Mitsubishi,3000 GT
1061,Mitsubishi,3000 GT Spyder
1062,Mitsubishi,Cordia
1063,Mitsubishi,Diamante
1064,Mitsubishi,Eclipse
1065,Mitsubishi,Eclipse Cross
1066,Mitsubishi,Endeavor
1067,Mitsubishi,Expo
1068,Mitsubishi,Galant
1069,Mitsubishi,Lancer
1070,Mitsubishi,Mirage
1071,Mitsubishi,Montero
1072,Mitsubishi,Montero Sport
1073,Mitsubishi,Nativa
1074,Mitsubishi,Outlander
1075,Mitsubishi,Precis
1076,Mitsubishi,Raider Pickup
1077,Mitsubishi,Sigma
1078,Mitsubishi,Space Wagon
1079,Mitsubishi,Starion
1080,Mitsubishi,Tredia
1081,Mitsubishi,Truck
1082,Mitsubishi,Van
1083,Mitsubishi,Wagon
1084,Mitsubishi,i-MiEV
1085,Mobility Ventures LLC,MV-1
1086,Morgan,Plus Eight
1087,Nissan,200SX
1088,Nissan,240SX
1089,Nissan,300ZX
1090,Nissan,350z
1091,Nissan,370Z
1092,Nissan,370z
1093,Nissan,ARIYA
1094,Nissan,Altima
1095,Nissan,Altima / Stanza
1096,Nissan,Altra EV
1097,Nissan,Armada
1098,Nissan,Axxess
1099,Nissan,Cube
1100,Nissan,Frontier
1101,Nissan,GT-R
1102,Nissan,Hardbody
1103,Nissan,Hyper-Mini
1104,Nissan,Juke
1105,Nissan,Kicks
1106,Nissan,LEAF
1107,Nissan,Leaf
1108,Nissan,Maxima
1109,Nissan,Murano
1110,Nissan,NV200 Cargo Van
1111,Nissan,NV200 NYC Taxi
1112,Nissan,NX
1113,Nissan,Pathfinder
1114,Nissan,Pickup
1115,Nissan,Pulsar NX
1116,Nissan,Pulsar/Pulsar-NX
1117,Nissan,Quest
1118,Nissan,Rogue
1119,Nissan,Rogue Sport
1120,Nissan,Sentra
1121,Nissan,Sentra/200SX
1122,Nissan,Stanza
1123,Nissan,Titan
1124,Nissan,Truck
1125,Nissan,Van
1126,Nissan,Versa
1127,Nissan,Xterra
1128,Nissan,Z
1129,Oldsmobile,Achieva
1130,Oldsmobile,Alero
1131,Oldsmobile,Aurora
1132,Oldsmobile,Bravada
1133,Oldsmobile,Calais
1134,Oldsmobile,Ciera
1135,Oldsmobile,Custom Cruiser
1136,Oldsmobile,Cutlass
1137,Oldsmobile,Cutlass Calais
1138,Oldsmobile,Cutlass Ciera
1139,Oldsmobile,Cutlass Cruiser
1140,Oldsmobile,Cutlass Supreme
1141,Oldsmobile,Delta 88
1142,Oldsmobile,Delta 88 Royale
1143,Oldsmobile,Eighty-Eight
1144,Oldsmobile,Eighty-Eight/Regency
1145,Oldsmobile,Eighty-Eight/Regency/LSS
1146,Oldsmobile,Firenza
1147,Oldsmobile,Intrigue
1148,Oldsmobile,Ninety-Eight
1149,Oldsmobile,Ninety-Eight II
1150,Oldsmobile,Ninety-Eight Regency
1151,Oldsmobile,Ninety-Eight/Touring
1152,Oldsmobile,Omega
1153,Oldsmobile,Silhouette
1154,Oldsmobile,Toronado
1155,Oldsmobile,Trofeo/Toronado
1156,PAS Inc - GMC,Pas-Syclone
1157,PAS Inc - GMC,Pas-typhoon
1158,"PAS, Inc",Pas-Syclone
1159,"PAS, Inc",Pas-Typhoon
1160,Pagani,Huayra
1161,Pagani,Huayra Coupe
1162,Panos,Roadster
1163,Panoz Auto-Development,Panoz Roadster
1164,Panther Car Company Limited,Kallista
1165,Peugeot,405
1166,Peugeot,505
1167,Peugeot,604
1168,Pininfarina,Spider
1169,Plymouth,Acclaim
1170,Plymouth,Breeze
1171,Plymouth,Caravelle
1172,Plymouth,Colt
1173,Plymouth,Conquest
1174,Plymouth,Gran Fury
1175,Plymouth,Horizon
1176,Plymouth,Laser
1177,Plymouth,Neon
1178,Plymouth,Prowler
1179,Plymouth,Reliant
1180,Plymouth,Sundance
1181,Plymouth,Sundance/Duster
1182,Plymouth,Turismo
1183,Plymouth,Voyager
1184,Plymouth,Voyager/Grand Voyager
1185,Polestar,1
1186,Polestar,2
1187,Pontiac,1000
1188,Pontiac,6000
1189,Pontiac,Aztek
1190,Pontiac,Bonneville
1191,Pontiac,Fiero
1192,Pontiac,Firebird/Trans Am/Formula
1193,Pontiac,Firefly
1194,Pontiac,G3
1195,Pontiac,G5
1196,Pontiac,G6
1197,Pontiac,G8
1198,Pontiac,GTO
1199,Pontiac,Grand Am
1200,Pontiac,Grand Prix
1201,Pontiac,Lemans
1202,Pontiac,Montana
1203,Pontiac,Monterey
1204,Pontiac,Parisienne
1205,Pontiac,Phoenix
1206,Pontiac,Safari
1207,Pontiac,Solstice
1208,Pontiac,Sunbird
1209,Pontiac,Sunburst
1210,Pontiac,Sunfire
1211,Pontiac,Torrent
1212,Pontiac,Trans Sport/Montana
1213,Pontiac,Vibe
1214,Pontiac,Wave
1215,Porsche,718
1216,Porsche,911
1217,Porsche,918 Spyder
1218,Porsche,924
1219,Porsche,928
1220,Porsche,944
1221,Porsche,968
1222,Porsche,Boxster
1223,Porsche,Carrera
1224,Porsche,Carrera 2 911 GT3
1225,Porsche,Carrera 2 Cabriolet
1226,Porsche,Carrera 2 Cabriolet Kit
1227,Porsche,Carrera 2 Coupe
1228,Porsche,Carrera 2 Coupe Kit
1229,Porsche,Carrera 2 S Cabriolet
1230,Porsche,Carrera 2 S Coupe
1231,Porsche,Carrera 4
1232,Porsche,Carrera 4 Cabriolet
1233,Porsche,Carrera 4 Cabriolet Kit
1234,Porsche,Carrera 4 Coupe
1235,Porsche,Carrera 4 S
1236,Porsche,Carrera 4 S Cabriolet
1237,Porsche,Carrera 4 S Cabriolet Kit
1238,Porsche,Carrera 4 S Coupe
1239,Porsche,Carrera 4 S Kit
1240,Porsche,Carrera 4 S Targa
1241,Porsche,Carrera 4 Targa
1242,Porsche,Carrera GT
1243,Porsche,Cayenne
1244,Porsche,Cayman
1245,Porsche,Macan
1246,Porsche,New 911 Carrera
1247,Porsche,Panamera
1248,Porsche,Targa
1249,Porsche,Taycan
1250,Porsche,Turbo
1251,Porsche,Turbo 2 911 GT2
1252,Porsche,Turbo 2 911 Gt2
1253,Porsche,Turbo 4 911
1254,Porsche,Turbo 4 911 Cab
1255,Porsche,Turbo 4 911 Cab Kit
1256,Porsche,Turbo 4 911 Kit
1257,Porsche,Turbo 4 911 S
1258,Porsche,Turbo 4 911 Turbo
1259,Porsche,Turbo 4 911 Turbo Cab S
1260,Porsche,Turbo GT2
1261,Porsche,Turbo Kit
1262,Quantum Technologies,Chevrolet Cavalier
1263,Qvale,Detomaso Mangusta
1264,RUF Automobile,RUF TURBO 12/CTR3
1265,RUF Automobile,RUFTURBO12/CTR3/CTR2017
1266,RUF Automobile,T12/CTR3/CTR Anniversary
1267,RUF Automobile,TURBO12/CTR3/CTR ANNIVERSARY
1268,Ram,1500
1269,Ram,C/V
1270,Ram,Promaster City
1271,Red Shift Ltd.,Delta 204T
1272,Renault,18i/Wagon/Sportwagon
1273,Renault,Alliance/Encore
1274,Renault,Fuego
1275,Renault,GTA
1276,Rivian,R1S
1277,Rivian,R1T
1278,Rolls-Royce,Azure
1279,Rolls-Royce,Brooklands/Turbo R
1280,Rolls-Royce,Camargue
1281,Rolls-Royce,Corniche/Continental
1282,Rolls-Royce,Cullinan
1283,Rolls-Royce,Dawn
1284,Rolls-Royce,Eight/Mulsan/Mulsanne
1285,Rolls-Royce,Flying Spur
1286,Rolls-Royce,Ghost
1287,Rolls-Royce,Limousine
1288,Rolls-Royce,Park Ward
1289,Rolls-Royce,Phantom
1290,Rolls-Royce,Silver Dawn
1291,Rolls-Royce,Silver Seraph
1292,Rolls-Royce,Silver Spirit II/Silver Spur
1293,Rolls-Royce,Silver Spirit III/Spur III
1294,Rolls-Royce,Silver Spirit/Silver Spur
1295,Rolls-Royce,Silver Spirit/Spur/Mulsanne
1296,Rolls-Royce,Silver Spur
1297,Rolls-Royce,Silver Spur II Mpw Touring L
1298,Rolls-Royce,Silver Spur III Limousine
1299,Rolls-Royce,Silver Spur Limousine
1300,Rolls-Royce,Silver Spur Park Ward
1301,Rolls-Royce,Silver Spur/Silver Dawn
1302,Rolls-Royce,Spectre
1303,Rolls-Royce,Spirit III/Spur III/Dawn
1304,Rolls-Royce,Wraith
1305,Roush Performance,F150
1306,Roush Performance,Mustang
1307,Roush Performance,Stage 3 Mustang
1308,Ruf Automobile Gmbh,Ruf
1309,S and S Coach Company  E.p. Dutton,Funeral Coach
1310,SRT,Viper
1311,STI,S209
1312,Saab,9-2
1313,Saab,9-3
1314,Saab,9-4
1315,Saab,9-5
1316,Saab,9-7
1317,Saab,900
1318,Saab,9000
1319,Saab,Convertible
1320,Saleen,Mustang
1321,Saleen,SSC
1322,Saleen Performance,F150 Supercharged
1323,Saleen Performance,S281 Family
1324,Saleen Performance,S331 Family
1325,Saturn,Astra
1326,Saturn,Aura
1327,Saturn,Ion
1328,Saturn,L100/200
1329,Saturn,L300
1330,Saturn,LS
1331,Saturn,LW
1332,Saturn,Outlook
1333,Saturn,Relay
1334,Saturn,SC
1335,Saturn,SKY
1336,Saturn,SL
1337,Saturn,SW
1338,Saturn,Vue
1339,Scion,FR-S
1340,Scion,iA
1341,Scion,iM
1342,Scion,iQ
1343,Scion,tC
1344,Scion,xA
1345,Scion,xB
1346,Scion,xD
1347,Shelby,Mustang GT
1348,Spyker,C8
1349,Sterling,825
1350,Sterling,827
1351,Subaru,Ascent
1352,Subaru,BRZ
1353,Subaru,Baja
1354,Subaru,Brat
1355,Subaru,Crosstrek
1356,Subaru,Forester
1357,Subaru,Hatchback
1358,Subaru,Impreza
1359,Subaru,Impreza/Outback Sport
1360,Subaru,Justy
1361,Subaru,Legacy
1362,Subaru,Legacy/Outback
1363,Subaru,Loyale
1364,Subaru,Outback
1365,Subaru,RX Turbo
1366,Subaru,SVX
1367,Subaru,Sedan
1368,Subaru,Solterra
1369,Subaru,Tribeca
1370,Subaru,WRX
1371,Subaru,Wagon
1372,Subaru,XT
1373,Superior Coaches Div E.p. Dutton,Funeral Coach
1374,Suzuki,Aerio
1375,Suzuki,Equator
1376,Suzuki,Esteem
1377,Suzuki,Forenza
1378,Suzuki,Forsa
1379,Suzuki,Grand Vitara
1380,Suzuki,Kizashi
1381,Suzuki,Reno
1382,Suzuki,SA 310
1383,Suzuki,SJ 410
1384,Suzuki,SW
1385,Suzuki,SX4
1386,Suzuki,Samurai
1387,Suzuki,Sidekick
1388,Suzuki,Swift
1389,Suzuki,Verona
1390,Suzuki,Vitara
1391,Suzuki,X-90
1392,Suzuki,XL7
1393,TVR Engineering Ltd,TVR 280i Convertible
1394,TVR Engineering Ltd,TVR 280i Coupe
1395,TVR Engineering Ltd,TVR 280i/350i Convertible
1396,TVR Engineering Ltd,TVR 280i/350i Coupe
1397,"Tecstar, LP",Foose F150
1398,Tesla,Model 3
1399,Tesla,Model S
1400,Tesla,Model X
1401,Tesla,Model Y
1402,Texas Coach Company,500SE
1403,Texas Coach Company,500SEC
1404,Texas Coach Company,500SEL
1405,Texas Coach Company,500SL
1406,Toyota,4Runner
1407,Toyota,86
1408,Toyota,Avalon
1409,Toyota,C-HR
1410,Toyota,Cab Chassis
1411,Toyota,Camry
1412,Toyota,Celica
1413,Toyota,Corolla
1414,Toyota,Corolla Cross
1415,Toyota,Cressida
1416,Toyota,Crown
1417,Toyota,Echo
1418,Toyota,FJ Cruiser
1419,Toyota,GR 86
1420,Toyota,GR Supra
1421,Toyota,Grand Highlander
1422,Toyota,Highlander
1423,Toyota,Land Cruiser
1424,Toyota,MR2
1425,Toyota,Matrix
1426,Toyota,Mirai
1427,Toyota,Paseo
1428,Toyota,Previa
1429,Toyota,Prius
1430,Toyota,Prius Prime
1431,Toyota,Prius c
1432,Toyota,Prius v
1433,Toyota,RAV4
1434,Toyota,RAV4 Prime
1435,Toyota,Sequoia
1436,Toyota,Sienna
1437,Toyota,Starlet
1438,Toyota,Supra
1439,Toyota,Tacoma
1440,Toyota,Tercel
1441,Toyota,Truck/T100
1442,Toyota,Tundra
1443,Toyota,Van
1444,Toyota,Venza
1445,Toyota,Yaris
1446,Toyota,bZ4X
1447,VPG,MV-1
1448,Vector,Avtech SC / M12
1449,Vector,W8
1450,Vinfast,VF 8
1451,Vinfast,VF 9
1452,Vixen Motor Company,21 TD
1453,Volga Associated Automobile,Niva
1454,Volkswagen,Arteon
1455,Volkswagen,Atlas
1456,Volkswagen,Beetle
1457,Volkswagen,CC
1458,Volkswagen,Cabrio
1459,Volkswagen,Cabriolet
1460,Volkswagen,Corrado
1461,Volkswagen,Eos
1462,Volkswagen,Eurovan
1463,Volkswagen,Fox
1464,Volkswagen,GLI
1465,Volkswagen,Golf/GTI
1466,Volkswagen,ID.4
1467,Volkswagen,Jetta
1468,Volkswagen,Passat
1469,Volkswagen,Phaeton
1470,Volkswagen,Quantum
1471,Volkswagen,R32
1472,Volkswagen,Rabbit
1473,Volkswagen,Routan
1474,Volkswagen,Scirocco
1475,Volkswagen,Taos
1476,Volkswagen,Tiguan
1477,Volkswagen,Touareg
1478,Volkswagen,Vanagon
1479,Volvo,240
1480,Volvo,740/760
1481,Volvo,780
1482,Volvo,850
1483,Volvo,940
1484,Volvo,960
1485,Volvo,960 Wagon/V90
1486,Volvo,960/S90
1487,Volvo,C30
1488,Volvo,C40
1489,Volvo,C70
1490,Volvo,Coupe
1491,Volvo,S40
1492,Volvo,S60
1493,Volvo,S70
1494,Volvo,S80
1495,Volvo,S90
1496,Volvo,V40
1497,Volvo,V50
1498,Volvo,V60
1499,Volvo,V70
1500,Volvo,V70 XC
1501,Volvo,V90
1502,Volvo,XC40
1503,Volvo,XC60
1504,Volvo,XC70
1505,Volvo,XC90
1506,Wallace Environmental,Wetl 190E
1507,Wallace Environmental,Wetl 300
1508,Wallace Environmental,Wetl 412
1509,Wallace Environmental,Wetl 500
1510,Wallace Environmental,Wetl 560
1511,Wallace Environmental,Wetl 600 SEL
1512,Wallace Environmental,Wetl 850I
1513,Wallace Environmental,Wetl Testarossa
1514,Yugo,GV Plus/GV/Cabrio
1515,Yugo,GV/GVX
1516,Yugo,Gy/yugo GVX
1517,smart,fortwo
